    100     10
Altitudes (km)
     1000.00      955.94      913.82      873.56      835.07      798.28
      763.11      729.49      697.35      666.62      637.25      609.18
      582.34      556.68      532.15      508.71      486.29      464.87
      444.39      424.81      406.09      388.20      371.10      354.75
      339.12      324.18      309.89      296.24      283.19      270.71
      258.78      247.38      236.48      226.06      216.10      206.58
      197.48      188.78      180.46      172.51      164.91      157.64
      150.70      144.06      137.71      131.64      125.84      120.30
      115.00      114.00      113.00      112.00      111.00      110.00
      109.00      108.00      107.00      106.00      105.00      104.00
      103.00      102.00      101.00      100.00       99.00       98.00
       97.00       96.00       95.00       94.00       93.00       92.00
       91.00       90.00       89.00       88.00       87.00       86.00
       85.00       84.00       83.00       82.00       81.00       80.00
       75.00       70.00       65.00       60.00       55.00       50.00
       45.00       40.00       35.00       30.00       25.00       20.00
       15.00       10.00        5.00        0.00
Neutral Atmosphere
Tn (K)
   1.141E+08   1.593E+08   2.194E+08   2.986E+08   4.014E+08   5.337E+08
   7.020E+08   9.142E+08   1.180E+09   1.510E+09   1.919E+09   2.425E+09
   3.049E+09   3.824E+09   4.792E+09   6.015E+09   7.584E+09   9.640E+09
   1.240E+10   1.623E+10   2.173E+10   3.002E+10   4.338E+10   6.787E+10
   1.155E+11   1.282E+11   1.422E+11   1.578E+11   1.749E+11   1.936E+11
   2.140E+11   2.360E+11   2.595E+11   2.845E+11   3.104E+11   3.369E+11
   3.632E+11   3.883E+11   4.110E+11   4.299E+11   4.431E+11   4.494E+11
   4.474E+11   4.363E+11   4.159E+11   3.865E+11   3.494E+11   3.064E+11
   2.602E+11   2.133E+11   1.684E+11   1.277E+11   9.281E+10   6.441E+10
   4.260E+10   2.679E+10   1.600E+10   9.056E+09   4.860E+09   2.474E+09
   4.148E+07   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30
   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30
   1.000E-30   1.000E-30   1.000E-30   1.000E-30
[O3]
   1.180E-22   1.368E-21   1.465E-20   1.450E-19   1.329E-18   1.129E-17
   8.917E-17   6.553E-16   4.489E-15   2.872E-14   1.720E-13   9.650E-13
   5.085E-12   2.520E-11   1.177E-10   5.190E-10   2.164E-09   8.546E-09
   3.202E-08   1.141E-07   3.867E-07   1.250E-06   3.858E-06   1.139E-05
   3.220E-05   8.729E-05   2.273E-04   5.690E-04   1.372E-03   3.189E-03
   7.158E-03   1.554E-02   3.267E-02   6.666E-02   1.323E-01   2.561E-01
   4.851E-01   9.030E-01   1.661E+00   3.040E+00   5.589E+00   1.045E+01
   2.021E+01   4.131E+01   9.174E+01   2.295E+02   6.782E+02   2.604E+03
   1.313E+04   1.826E+04   2.561E+04   3.628E+04   5.194E+04   7.520E+04
   1.101E+05   1.631E+05   2.441E+05   3.687E+05   5.604E+05   8.543E+05
   1.301E+06   1.970E+06   2.950E+06   4.345E+06   6.257E+06   8.786E+06
   1.200E+07   1.589E+07   2.040E+07   2.531E+07   3.034E+07   3.509E+07
   3.914E+07   4.209E+07   4.363E+07   4.352E+07   4.165E+07   3.821E+07
   3.866E+07   3.950E+07   4.118E+07   4.376E+07   5.605E+07   7.193E+07
   3.450E+08   9.481E+08   9.836E+08   1.890E+09   3.553E+09   1.187E+10
   3.869E+10   1.356E+11   4.655E+11   1.753E+12   6.075E+12   8.047E+12
   7.376E+12   4.789E+12   1.694E+12   1.360E+12
[NO]
   1.611E-07   7.772E-07   3.498E-06   1.473E-05   5.824E-05   2.167E-04
   7.611E-04   2.529E-03   7.969E-03   2.388E-02   6.816E-02   1.858E-01
   4.845E-01   1.211E+00   2.909E+00   6.720E+00   1.496E+01   3.216E+01
   6.683E+01   1.345E+02   2.624E+02   4.971E+02   9.157E+02   1.642E+03
   2.869E+03   4.892E+03   8.148E+03   1.327E+04   2.115E+04   3.302E+04
   5.056E+04   7.597E+04   1.121E+05   1.627E+05   2.322E+05   3.262E+05
   4.515E+05   6.160E+05   8.291E+05   1.065E+06   1.348E+06   1.687E+06
   2.088E+06   2.634E+06   3.354E+06   4.349E+06   6.156E+06   9.069E+06
   1.127E+07   1.158E+07   1.176E+07   1.194E+07   1.207E+07   1.219E+07
   1.213E+07   1.207E+07   1.194E+07   1.182E+07   1.158E+07   1.134E+07
   1.084E+07   1.036E+07   9.535E+06   8.776E+06   9.288E+06   9.831E+06
   1.041E+07   1.101E+07   1.166E+07   1.234E+07   1.306E+07   1.382E+07
   1.463E+07   1.549E+07   1.452E+07   1.362E+07   1.276E+07   1.196E+07
   1.120E+07   1.081E+07   1.043E+07   1.005E+07   9.693E+06   9.341E+06
   1.206E+07   1.790E+07   3.251E+07   6.287E+07   1.194E+08   2.216E+08
   4.633E+08   8.904E+08   1.222E+09   9.140E+08   5.649E+08   4.699E+08
   1.158E+09   2.564E+09   4.597E+09   7.664E+09
[N]
   7.295E+00   1.491E+01   2.977E+01   5.810E+01   1.109E+02   2.070E+02
   3.781E+02   6.765E+02   1.186E+03   2.038E+03   3.435E+03   5.680E+03
   9.223E+03   1.471E+04   2.306E+04   3.555E+04   5.392E+04   8.049E+04
   1.185E+05   1.719E+05   2.458E+05   3.468E+05   4.833E+05   6.654E+05
   9.058E+05   1.220E+06   1.626E+06   2.146E+06   2.804E+06   3.626E+06
   4.636E+06   5.852E+06   7.274E+06   8.873E+06   1.057E+07   1.224E+07
   1.366E+07   1.459E+07   1.479E+07   1.411E+07   1.259E+07   1.045E+07
   8.052E+06   5.779E+06   3.895E+06   2.505E+06   1.579E+06   1.029E+06
   7.167E+05   6.697E+05   6.256E+05   5.844E+05   5.458E+05   5.099E+05
   4.764E+05   4.454E+05   4.166E+05   3.900E+05   3.654E+05   3.426E+05
   3.215E+05   3.017E+05   2.832E+05   2.656E+05   2.487E+05   2.326E+05
   2.171E+05   2.022E+05   1.880E+05   1.744E+05   1.615E+05   1.494E+05
   1.379E+05   1.272E+05   1.174E+05   1.083E+05   9.984E+04   9.209E+04
   8.495E+04   7.837E+04   7.233E+04   6.676E+04   6.164E+04   5.692E+04
   3.832E+04   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30
   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30   1.000E-30
   1.000E-30   1.000E-30   1.000E-30   1.000E-30
[He]
   1.548E+05   1.898E+05   2.313E+05   2.800E+05   3.368E+05   4.025E+05
   4.781E+05   5.646E+05   6.628E+05   7.737E+05   8.981E+05   1.037E+06
   1.191E+06   1.361E+06   1.547E+06   1.751E+06   1.972E+06   2.212E+06
   2.469E+06   2.745E+06   3.039E+06   3.352E+06   3.682E+06   4.030E+06
   4.396E+06   4.779E+06   5.178E+06   5.594E+06   6.025E+06   6.472E+06
   6.935E+06   7.414E+06   7.911E+06   8.428E+06   8.967E+06   9.533E+06
   1.014E+07   1.078E+07   1.148E+07   1.225E+07   1.312E+07   1.413E+07
   1.531E+07   1.676E+07   1.861E+07   2.110E+07   2.468E+07   3.056E+07
   4.045E+07   4.286E+07   4.549E+07   4.836E+07   5.150E+07   5.497E+07
   5.881E+07   6.309E+07   6.790E+07   7.335E+07   7.957E+07   8.670E+07
   9.492E+07   1.044E+08   1.155E+08   1.282E+08   1.430E+08   1.602E+08
   1.801E+08   2.031E+08   2.298E+08   2.607E+08   2.965E+08   3.380E+08
   3.861E+08   4.421E+08   5.075E+08   5.839E+08   6.731E+08   7.773E+08
   8.991E+08   1.041E+09   1.207E+09   1.401E+09   1.626E+09   1.889E+09
